"tmean","tnobs","n_reps","alpha","sizeclass","research_strategy","test_strategy","is_hacked","sigmean","mean_nobs","mean_eff","mean_eff_diff","mean_pvalue","size",".groups"
0.25,"5",3,0.05,"S","DefaultResearchStrategy","TTest","1",0.6518,11.6622,1.0635646986,0.8135646986,0.0681247866,"Small","drop"
0.65,"20",1,0.05,"L","DefaultResearchStrategy","TTest","0",0.5244,20,0.668679696,0.018679696,0.1358470556,"Small","drop"
0.1,"20",1,0.05,"L","DefaultResearchStrategy","TTest","1",0.2052,25.875,0.3254831346,0.2254831346,0.3300710416,"Small","drop"
0.25,"50",2,0.005,"M","DefaultResearchStrategy","TTest","1",0.2574,55.882,0.4026804974,0.1526804974,0.1231838302,"Large","drop"
0.5,"25",5,5e-04,"S","DefaultResearchStrategy","TTest","1",0.2538,32.2978,0.7266683742,0.2266683742,0.0399772108,"Large","drop"
0.6,"20",5,5e-04,"L","DefaultResearchStrategy","TTest","0",0.2054,20,1.0093585902,0.4093585902,0.0114263482,"Small","drop"
0.85,"25",1,0.05,"S","DefaultResearchStrategy","TTest","0",0.8414,25,0.8603242076,0.0103242075999999,0.035880057,"Large","drop"
0.3,"20",5,5e-04,"L","DefaultResearchStrategy","TTest","1",0.2554,27.5672,0.8671670844,0.5671670844,0.0095927226,"Small","drop"
0.55,"100",1,5e-04,"L","DefaultResearchStrategy","TTest","1",0.9294,101.4122,0.600876573,0.0508765729999999,0.0005212184,"Large","drop"
0,"20",4,5e-04,"L","DefaultResearchStrategy","TTest","1",0.015,26.3766,0.515677184,0.515677184,0.13343131,"Small","drop"
0,"5",5,0.05,"S","DefaultResearchStrategy","TTest","1",0.4738,10.8604,1.001475942,1.001475942,0.0981155064,"Small","drop"
0.3,"25",1,0.05,"S","DefaultResearchStrategy","TTest","0",0.1784,25,0.3024771244,0.00247712439999997,0.3529014924,"Large","drop"
0.8,"20",5,5e-04,"L","DefaultResearchStrategy","TTest","0",0.4974,20,1.2126771078,0.4126771078,0.0024183816,"Small","drop"
0,"10",3,0.05,"M","DefaultResearchStrategy","TTest","0",0.0778,10,0.4006265266,0.4006265266,0.4411198722,"Small","drop"
0.1,"20",2,0.05,"L","DefaultResearchStrategy","TTest","1",0.366,25.8016,0.472050025,0.372050025,0.1782249764,"Small","drop"
0.65,"10",5,0.05,"M","DefaultResearchStrategy","TTest","0",0.8012,10,1.1701429826,0.5201429826,0.0373532734,"Small","drop"
0.25,"5",2,0.005,"S","DefaultResearchStrategy","TTest","1",0.1506,12.2812,0.947105873,0.697105873,0.111994689,"Small","drop"
0.35,"100",4,5e-04,"L","DefaultResearchStrategy","TTest","1",0.4688,104.149,0.4556594334,0.1056594334,0.014937248,"Large","drop"
0.6,"5",3,0.005,"S","DefaultResearchStrategy","TTest","1",0.646,13.4744,1.3576227262,0.7576227262,0.010492817,"Small","drop"
0.65,"100",1,5e-04,"L","DefaultResearchStrategy","TTest","1",0.9856,100.4144,0.6737686628,0.0237686628,0.0001039804,"Large","drop"
0.2,"25",4,0.05,"S","DefaultResearchStrategy","TTest","1",0.358,30.7874,0.4014829132,0.2014829132,0.2233222898,"Large","drop"
0.45,"5",1,5e-04,"S","DefaultResearchStrategy","TTest","1",0.0502,12.7022,0.909543314,0.459543314,0.1351352278,"Small","drop"
0.2,"5",1,5e-04,"S","DefaultResearchStrategy","TTest","0",6e-04,5,0.224147536,0.024147536,0.488548494,"Small","drop"
0.05,"5",4,0.05,"S","DefaultResearchStrategy","TTest","0",0.108,5,0.7939402578,0.7439402578,0.3444286486,"Small","drop"
0.15,"100",2,5e-04,"L","DefaultResearchStrategy","TTest","1",0.064,104.8758,0.2602062762,0.1102062762,0.1733267514,"Large","drop"
0.95,"100",2,5e-04,"L","DefaultResearchStrategy","TTest","0",0.9988,100,0.9533757694,0.00337576939999995,5.9312e-06,"Large","drop"
1,"5",5,0.05,"S","DefaultResearchStrategy","TTest","0",0.8084,5,1.9072241544,0.9072241544,0.0356539052,"Small","drop"
0.35,"50",4,0.005,"M","DefaultResearchStrategy","TTest","0",0.1412,50,0.3562291008,0.00622910079999994,0.1923811534,"Large","drop"
0.5,"10",3,0.05,"M","DefaultResearchStrategy","TTest","1",0.9564,15.3808,0.9789345274,0.4789345274,0.0247145258,"Small","drop"
0.05,"10",5,0.005,"M","DefaultResearchStrategy","TTest","1",0.1422,16.5938,0.7903553082,0.7403553082,0.0772549474,"Small","drop"
